country_name,code,cost,gdp,voice,politicalstability,govteffectiveness,regulatory,ruleoflaw,corruption,popn2004,migrants,migprop,flowuscanz,region,restrict,commonwealth,language
Ghana,GHA,5.45,380,0.39,-0.1,-0.17,-0.28,-0.16,-0.17,21100000,170696,0.008024937,6316,Africa,no,no,English
Greece,GRC,65.34,16610,0.91,0.53,0.74,0.85,0.75,0.56,11100000,761057,0.064164349,1084,Europe,no,no,Other
Grenada,GRD,37.41,3760,0.85,0.95,0.1,0.37,0.46,0.52,105700,61033,0.366052311,898,NoAm,no,yes,English
Guatemala,GTM,38.6,2130,-0.39,-0.85,-0.87,-0.07,-0.96,-0.74,12600000,561756,0.042680931,18225,NoAm,no,no,Spanish
Guyana,GUY,6.3,990,0.62,-0.53,-0.2,-0.14,-0.48,-0.35,772056,338754,0.304961244,7658,SoAm,no,yes,English
Honduras,HND,35,1030,-0.02,-0.69,-0.68,-0.33,-0.61,-0.71,7141464,335911,0.044923653,5641,NoAm,no,no,Spanish
Hong Kong China,HKG,41.24,26810,0.21,1.3,1.49,1.89,1.42,1.57,6845000,657621,0.087652168,6728,Asia,no,no,English
Hungary,HUN,23.85,8270,1.16,0.85,0.68,1.22,0.85,0.65,10100000,339163,0.032489482,2108,Europe,no,no,Other
Iceland,ISL,83.44,38620,1.41,1.77,2.18,1.82,2.01,2.43,290000,28188,0.088589136,130,Europe,no,no,Other
India,IND,22.29,620,0.27,-0.81,-0.04,-0.59,-0.09,-0.31,1080000000,2928302,0.002704059,105821,Asia,no,yes,English
Indonesia,IDN,21.73,1140,-0.44,-1.38,-0.36,-0.42,-0.91,-0.9,218000000,779832,0.00356446,5652,Asia,no,no,Other
Ireland,IRL,90.58,34280,1.3,1.22,1.48,1.63,1.62,1.61,4019000,817116,0.168961208,3089,Europe,no,no,English
Israel,ISR,47.37,17380,0.46,-1.01,0.98,0.69,0.77,0.79,6797670,274372,0.038796715,7379,Asia,yes,no,Arabic
Italy,ITA,55.81,26120,1.06,0.31,0.58,0.97,0.74,0.66,57600000,2815125,0.046596361,3013,Europe,no,no,French
Jamaica,JAM,39.48,2900,0.54,-0.28,0.13,0.15,-0.32,-0.52,2664766,854320,0.242767582,16559,NoAm,no,yes,English
Japan,JPN,86.47,37180,0.98,0.99,1.21,1.04,1.39,1.19,128000000,744304,0.005781258,10065,Asia,no,no,Other
Kenya,KEN,5.37,460,-0.34,-0.96,-0.81,-0.43,-0.98,-0.89,32400000,220542,0.006760832,6837,Africa,no,yes,English
Laos,LAO,46.02,390,-1.55,-0.76,-1.02,-1.24,-1.27,-1.15,5792450,276065,0.04549136,1231,Asia,yes,no,Other
Lebanon,LBN,200,4980,-0.81,-0.83,-0.33,-0.49,-0.32,-0.51,4553928,385540,0.07805294,7786,Asia,yes,no,Arabic
