Location,Population,PopulationType,Market,PotentialRevenue,PresentRevenue,Vehicles,Distribution
Karvetinagar,17986.8,UFTP,Rural Villages,167877,0,0,Indirect
Velivennu,17967.3,UFTP,Rural Villages,167695,0,0,Indirect
Dornala,17929.6,UFTP,Rural Villages,167343,0,0,Indirect
Kaviti,17916.6,UFTP,Rural Villages,167222,494611.73,0,Indirect
Kubadpuram,17895.8,UFTP,Rural Villages,167027,0,0,Indirect
Tetagunta,17890.6,UFTP,Rural Villages,166979,0,0,Indirect
Anantharajupeta,17881.5,UFTP,Rural Villages,166894,0,0,Indirect
Kothuru,17876.3,UFTP,Rural Villages,166845,0,0,Indirect
Amarapuram,17865.9,UFTP,Rural Villages,166748,0,0,Indirect
Tanakal,17802.2,UFTP,Rural Villages,166154,0,0,Indirect
Gundugolanu,17782.7,UFTP,Rural Villages,165972,0,0,Indirect
Prathipadu,17754.1,UFTP,Rural Villages,165705,0,0,Indirect
Denduluru,17709.9,UFTP,Rural Villages,165292,0,0,Indirect
Pedavegi,17709.9,UFTP,Rural Villages,165292,0,0,Indirect
Kalipatnam,17699.5,UFTP,Rural Villages,165195,0,0,Indirect
Pedalanka,17677.4,UFTP,Rural Villages,164989,0,0,Indirect
Owk,17581.2,UFTP,Rural Villages,164091,0,0,Indirect
Shermahammadpuram,17574.7,UFTP,Rural Villages,164031,0,0,Indirect
Ganapavaram,17564.3,UFTP,Rural Villages,163933,0,0,Indirect
Chillakallu,17542.2,UFTP,Rural Villages,163727,0,0,Indirect
Kapileswarapuram,17488.9,UFTP,Rural Villages,163230,0,0,Indirect
Palukur,17452.5,UFTP,Rural Villages,162890,0,0,Indirect
Kowthalam,17447.3,UFTP,Rural Villages,162841,0,0,Indirect
Choppela,17443.4,UFTP,Rural Villages,162805,0,0,Indirect
Karamchedu,17442.1,UFTP,Rural Villages,162793,0,0,Indirect
Khajipet Sunkesula,17429.1,UFTP,Rural Villages,162672,0,0,Indirect
Allur,17425.2,UFTP,Rural Villages,162635,0,0,Indirect
Nandavaram,17418.7,UFTP,Rural Villages,162575,0,0,Indirect
Chebrolu,17381,UFTP,Rural Villages,162223,339577.98,1,Indirect
Raghudevapuram,17348.5,UFTP,Rural Villages,161919,0,0,Indirect
Kurabalakota,17316,UFTP,Rural Villages,161616,0,0,Indirect
Gopalapuram,17301.7,UFTP,Rural Villages,161483,0,0,Indirect
Jegurupadu,17297.8,UFTP,Rural Villages,161446,0,0,Indirect
Kesanakurru,17297.8,UFTP,Rural Villages,161446,0,0,Indirect
Krosuru,17265.3,UFTP,Rural Villages,161143,0,0,Indirect
Chennuru – II (Part),17254.9,UFTP,Rural Villages,161046,0,0,Indirect
Katravulapalle,17238,UFTP,Rural Villages,160888,0,0,Indirect
Sankaraguptham,17234.1,UFTP,Rural Villages,160852,0,0,Indirect
Kundurpi,17215.9,UFTP,Rural Villages,160682,0,0,Indirect
Satyavedu,17153.5,UFTP,Rural Villages,160099,0,0,Indirect
Bandarulanka (CT),17148.3,UFTP,Rural Villages,160051,0,0,Indirect
Kalakada,17134,UFTP,Rural Villages,159917,957073.09,0,Indirect
Nandyalampeta,17128.8,UFTP,Rural Villages,159869,0,0,Indirect
Modameedipalle (CT),17039.1,UFTP,Rural Villages,159032,0,0,Indirect
Konakondla,17015.7,UFTP,Rural Villages,158813,0,0,Indirect
Gundlapalle,16996.2,UFTP,Rural Villages,158631,0,0,Indirect
Chandole,16955.9,UFTP,Rural Villages,158255,0,0,Indirect
Cheemalapadu,16926,UFTP,Rural Villages,157976,0,0,Indirect
Janapadu,16920.8,UFTP,Rural Villages,157927,0,0,Indirect
Narayanavanam (CT),16823.3,UFTP,Rural Villages,157017,0,0,Indirect
Chilamkur,16802.5,UFTP,Rural Villages,156823,0,0,Indirect
Vemuladeevi,16777.8,UFTP,Rural Villages,156593,0,0,Indirect
Talupula,16763.5,UFTP,Rural Villages,156459,0,0,Indirect
Gudikal,16763.5,UFTP,Rural Villages,156459,0,0,Indirect
Bugganipalle,16751.8,UFTP,Rural Villages,156350,0,0,Indirect
Pathareddipalem,16729.7,UFTP,Rural Villages,156144,0,0,Indirect
Guntupalle (CT),16724.5,UFTP,Rural Villages,156095,0,0,Indirect
Kirikera,16720.6,UFTP,Rural Villages,156059,0,0,Indirect
Madala,16720.6,UFTP,Rural Villages,156059,0,0,Indirect
Nagalapuram,16693.3,UFTP,Rural Villages,155804,0,0,Indirect
C.Belagal,16690.7,UFTP,Rural Villages,155780,0,0,Indirect
Perur (CT),16634.8,UFTP,Rural Villages,155258,0,0,Indirect
Dharmavaram,16624.4,UFTP,Rural Villages,155161,0,0,Indirect
Duggirala,16591.9,UFTP,Rural Villages,154858,0,0,Indirect
Bhattiprolu,16582.8,UFTP,Rural Villages,154773,0,0,Indirect
Tadepalle,16565.9,UFTP,Rural Villages,154615,0,0,Indirect
Srungavruksham,16564.6,UFTP,Rural Villages,154603,0,0,Indirect
Manepalle,16547.7,UFTP,Rural Villages,154445,0,0,Indirect
Kunuthuru (R),16511.3,UFTP,Rural Villages,154105,0,0,Indirect
Sankhavaram,16503.5,UFTP,Rural Villages,154033,0,0,Indirect
Perali,16497,UFTP,Rural Villages,153972,0,0,Indirect
Rolla,16474.9,UFTP,Rural Villages,153766,0,0,Indirect
Dodleru,16448.9,UFTP,Rural Villages,153523,0,0,Indirect
Edlapadu,16438.5,UFTP,Rural Villages,153426,0,0,Indirect
Vanapalle,16407.3,UFTP,Rural Villages,153135,0,0,Indirect
Dhone (R) @ Dronachalam,16402.1,UFTP,Rural Villages,153086,0,0,Indirect
Ramabhadrapuram,16387.8,UFTP,Rural Villages,152953,0,0,Indirect
Chandarlapadu,16382.6,UFTP,Rural Villages,152904,0,0,Indirect
Nallamada,16361.8,UFTP,Rural Villages,152710,0,0,Indirect
Nadendla,16347.5,UFTP,Rural Villages,152577,0,0,Indirect
Nannur,16343.6,UFTP,Rural Villages,152540,0,0,Indirect
Buja Buja Nellore (CT),16335.8,UFTP,Rural Villages,152467,0,0,Indirect
Mutyalapalle,16304.6,UFTP,Rural Villages,152176,0,0,Indirect
Rambilli,16265.6,UFTP,Rural Villages,151812,0,0,Indirect
Rowthulapudi,16122.6,UFTP,Rural Villages,150478,0,0,Indirect
Nekarikallu,16113.5,UFTP,Rural Villages,150393,0,0,Indirect
Kandula Puram,16095.3,UFTP,Rural Villages,150223,0,0,Indirect
Pragadavaram,16078.4,UFTP,Rural Villages,150065,0,0,Indirect
Komarolu,16065.4,UFTP,Rural Villages,149944,0,0,Indirect
Chelluru,16045.9,UFTP,Rural Villages,149762,0,0,Indirect
Rajanagaram,16029,UFTP,Rural Villages,149604,0,0,Indirect
Durgada,16022.5,UFTP,Rural Villages,149543,0,0,Indirect
Melavoi,16018.6,UFTP,Rural Villages,149507,0,0,Indirect
Sangam,15993.9,UFTP,Rural Villages,149276,0,0,Indirect
Kathipudi,15966.6,UFTP,Rural Villages,149022,0,0,Indirect
Juvvaladinne,15958.8,UFTP,Rural Villages,148949,0,0,Indirect
Penumantra,15934.1,UFTP,Rural Villages,148718,0,0,Indirect
Gurramkonda,15909.4,UFTP,Rural Villages,148488,0,0,Indirect
Vempalle,15905.5,UFTP,Rural Villages,148451,0,0,Indirect
Atmakur,15896.4,UFTP,Rural Villages,148366,0,0,Indirect
Chinnamandem,15880.8,UFTP,Rural Villages,148221,0,0,Indirect
Manchala,15866.5,UFTP,Rural Villages,148087,0,0,Indirect
Arugolanu,15817.1,UFTP,Rural Villages,147626,0,0,Indirect
Lingamguntla Agraharam (Part),15797.6,UFTP,Rural Villages,147444,0,0,Indirect
Koppaka,15787.2,UFTP,Rural Villages,147347,0,0,Indirect
Karakambadi (Rural),15704,UFTP,Rural Villages,146571,0,0,Indirect
Devanakonda,15687.1,UFTP,Rural Villages,146413,0,0,Indirect
Gudlavalleru,15684.5,UFTP,Rural Villages,146389,0,0,Indirect
Yenumalapalle (CT),15670.2,UFTP,Rural Villages,146255,0,0,Indirect
Mulakalur,15623.4,UFTP,Rural Villages,145818,0,0,Indirect
Kaluvoya,15603.9,UFTP,Rural Villages,145636,0,0,Indirect
Akurajupalle,15574,UFTP,Rural Villages,145357,0,0,Indirect
Tripuranthakam,15536.3,UFTP,Rural Villages,145005,0,0,Indirect
Machavaram,15529.8,UFTP,Rural Villages,144945,0,0,Indirect
Sekuru,15518.1,UFTP,Rural Villages,144836,0,0,Indirect
Lingana Boinacherla,15511.6,UFTP,Rural Villages,144775,0,0,Indirect
Damalcheruvu,15464.8,UFTP,Rural Villages,144338,0,0,Indirect
Lakkavaram,15420.6,UFTP,Rural Villages,143926,0,0,Indirect
Buddavaram,15411.5,UFTP,Rural Villages,143841,0,0,Indirect
Lakkireddipalle,15402.4,UFTP,Rural Villages,143756,0,0,Indirect
Srisailamgudem Devasthanam,15380.3,UFTP,Rural Villages,143549,0,0,Indirect
Kesavaram,15358.2,UFTP,Rural Villages,143343,0,0,Indirect
Somireddipalle,15350.4,UFTP,Rural Villages,143270,0,0,Indirect
Kalamalla,15334.8,UFTP,Rural Villages,143125,0,0,Indirect
Lingamparthi,15250.3,UFTP,Rural Villages,142336,0,0,Indirect
Bellamkonda,15202.2,UFTP,Rural Villages,141887,0,0,Indirect
Roddam,15195.7,UFTP,Rural Villages,141827,0,0,Indirect
Gangolu,15193.1,UFTP,Rural Villages,141802,0,0,Indirect
Varini,15178.8,UFTP,Rural Villages,141669,0,0,Indirect
Valaparla,15176.2,UFTP,Rural Villages,141645,0,0,Indirect
Kaza,15171,UFTP,Rural Villages,141596,0,0,Indirect
Kornepadu,15150.2,UFTP,Rural Villages,141402,0,0,Indirect
Rompicherla,15146.3,UFTP,Rural Villages,141365,0,0,Indirect
Pothavaram,15145,UFTP,Rural Villages,141353,0,0,Indirect
Vemulapalle  @  Seetayyapalem,15085.2,UFTP,Rural Villages,140795,0,0,Indirect
Pydiparru,15082.6,UFTP,Rural Villages,140771,0,0,Indirect
Jaladanki,15081.3,UFTP,Rural Villages,140759,0,0,Indirect
Karapa,15078.7,UFTP,Rural Villages,140735,137312.27,1,Indirect
Medikonduru,15018.9,UFTP,Rural Villages,140176,0,0,Indirect
Lepakshi,15012.4,UFTP,Rural Villages,140116,0,0,Indirect
Isakapalle,15011.1,UFTP,Rural Villages,140104,0,0,Indirect
Gavaravaram (CT),14992.9,UFTP,Rural Villages,139934,0,0,Indirect
Munagapaka,14991.6,UFTP,Rural Villages,139922,0,0,Indirect
Allavaram,14939.6,UFTP,Rural Villages,139436,0,0,Indirect
Balabhadrapuram,14911,UFTP,Rural Villages,139169,0,0,Indirect
Rampachodavaram (CT),14878.5,UFTP,Rural Villages,138866,0,0,Indirect
Vejendla,14857.7,UFTP,Rural Villages,138672,0,0,Indirect
Chinna Orampadu,14846,UFTP,Rural Villages,138563,0,0,Indirect
Pulakurthy,14839.5,UFTP,Rural Villages,138502,0,0,Indirect
Angalakuduru,14830.4,UFTP,Rural Villages,138417,0,0,Indirect
Pudimadaka,14818.7,UFTP,Rural Villages,138308,0,0,Indirect
Vemulapudi,14810.9,UFTP,Rural Villages,138235,0,0,Indirect
Brahmanakraka,14807,UFTP,Rural Villages,138199,0,0,Indirect
Velampalem,14801.8,UFTP,Rural Villages,138150,0,0,Indirect
Ranga Samudram,14764.1,UFTP,Rural Villages,137798,0,0,Indirect
Reddigudem,14760.2,UFTP,Rural Villages,137762,0,0,Indirect
Kothapalle,14736.8,UFTP,Rural Villages,137543,0,0,Indirect
Bondada,14726.4,UFTP,Rural Villages,137446,0,0,Indirect
Potharlanka,14709.5,UFTP,Rural Villages,137289,0,0,Indirect
Manubolu,14708.2,UFTP,Rural Villages,137277,0,0,Indirect
Chinnathippasamudram,14684.8,UFTP,Rural Villages,137058,0,0,Indirect
Nallapadu  (R),14680.9,UFTP,Rural Villages,137022,0,0,Indirect
Vemuru,14644.5,UFTP,Rural Villages,136682,0,1,Indirect
Muddanur (CT),14613.3,UFTP,Rural Villages,136391,0,0,Indirect
Ampolu,14606.8,UFTP,Rural Villages,136330,0,0,Indirect
Ganapavaram,14582.1,UFTP,Rural Villages,136100,0,0,Indirect
Mandasa,14571.7,UFTP,Rural Villages,136003,0,0,Indirect
Veeravaram,14553.5,UFTP,Rural Villages,135833,0,0,Indirect
Paritala,14540.5,UFTP,Rural Villages,135711,0,0,Indirect
Alamuru,14535.3,UFTP,Rural Villages,135663,0,0,Indirect
Ilapakurru,14518.4,UFTP,Rural Villages,135505,0,0,Indirect
G. Vemavaram,14510.6,UFTP,Rural Villages,135432,0,0,Indirect
Dindi,14508,UFTP,Rural Villages,135408,0,0,Indirect
Ponnekallu,14505.4,UFTP,Rural Villages,135384,0,0,Indirect
G. Medapadu,14489.8,UFTP,Rural Villages,135238,0,0,Indirect
Santhamaguluru,14482,UFTP,Rural Villages,135165,0,0,Indirect
Pinnelli,14478.1,UFTP,Rural Villages,135129,0,0,Indirect
Gopalapuram,14470.3,UFTP,Rural Villages,135056,0,0,Indirect
Konidena,14427.4,UFTP,Rural Villages,134656,0,0,Indirect
Thurputallu,14427.4,UFTP,Rural Villages,134656,0,0,Indirect
Gandlapenta,14368.9,UFTP,Rural Villages,134110,0,0,Indirect
Kirlampudi,14365,UFTP,Rural Villages,134073,0,0,Indirect
Nadimpalem,14328.6,UFTP,Rural Villages,133734,0,0,Indirect
Srigiripadu,14320.8,UFTP,Rural Villages,133661,0,0,Indirect
Pagidyala,14320.8,UFTP,Rural Villages,133661,0,0,Indirect
Poduru,14319.5,UFTP,Rural Villages,133649,0,0,Indirect
Nandimandalam,14313,UFTP,Rural Villages,133588,0,0,Indirect
Iragavaram,14303.9,UFTP,Rural Villages,133503,0,0,Indirect
Nedunuru,14301.3,UFTP,Rural Villages,133479,0,0,Indirect
Gudibanda,14293.5,UFTP,Rural Villages,133406,0,0,Indirect
Vatsavai,14283.1,UFTP,Rural Villages,133309,0,0,Indirect
Avidi,14258.4,UFTP,Rural Villages,133078,0,0,Indirect
Kaikaram,14250.6,UFTP,Rural Villages,133006,0,0,Indirect
Edara,14240.2,UFTP,Rural Villages,132909,0,0,Indirect
T.Narasapuram,14225.9,UFTP,Rural Villages,132775,0,0,Indirect
Thammavaram,14222,UFTP,Rural Villages,132739,0,0,Indirect
Amalapuram (R),14214.2,UFTP,Rural Villages,132666,0,1,Indirect
Rajupeta,14185.6,UFTP,Rural Villages,132399,0,0,Indirect
Durgi,14172.6,UFTP,Rural Villages,132278,0,0,Indirect
Molagavalli,14164.8,UFTP,Rural Villages,132205,0,0,Indirect
Patha  Gannavaram,14141.4,UFTP,Rural Villages,131986,0,0,Indirect
Gollapalle,14131,UFTP,Rural Villages,131889,0,0,Indirect
Mutukuru,14099.8,UFTP,Rural Villages,131598,0,0,Indirect
Elurupadu,14086.8,UFTP,Rural Villages,131477,0,0,Indirect
Kapuluppada,14071.2,UFTP,Rural Villages,131331,0,0,Indirect
Aminabada,14064.7,UFTP,Rural Villages,131271,0,0,Indirect
Kalluru Agraharam,14059.5,UFTP,Rural Villages,131222,0,0,Indirect
Uppalaguptam,14049.1,UFTP,Rural Villages,131125,0,1,Indirect
Devarapalle,14049.1,UFTP,Rural Villages,131125,0,0,Indirect
Bayyanagudem,14042.6,UFTP,Rural Villages,131064,0,0,Indirect
Vadlamudi,13972.4,UFTP,Rural Villages,130409,0,0,Indirect
Bhogapuram,13964.6,UFTP,Rural Villages,130336,0,0,Indirect
Ayyalur (Part),13963.3,UFTP,Rural Villages,130324,0,0,Indirect
Putrela,13946.4,UFTP,Rural Villages,130166,0,0,Indirect
Nagayalanka,13934.7,UFTP,Rural Villages,130057,0,0,Indirect
Cheepurupalle (East ),13929.5,UFTP,Rural Villages,130009,0,0,Indirect
Tadimalla,13915.2,UFTP,Rural Villages,129875,0,0,Indirect
Isakapalem,13912.6,UFTP,Rural Villages,129851,0,0,Indirect
Draksharama,13902.2,UFTP,Rural Villages,129754,0,0,Indirect
T. Challapalle,13890.5,UFTP,Rural Villages,129645,0,0,Indirect
Allaparru,13890.5,UFTP,Rural Villages,129645,0,0,Indirect
Someswaram,13869.7,UFTP,Rural Villages,129451,0,0,Indirect
Palthur,13859.3,UFTP,Rural Villages,129353,0,0,Indirect
Rajapudi,13854.1,UFTP,Rural Villages,129305,0,0,Indirect
Edupugallu,13847.6,UFTP,Rural Villages,129244,0,0,Indirect
Atchutapuratrayam,13843.7,UFTP,Rural Villages,129208,0,0,Indirect
Ghantasala,13825.5,UFTP,Rural Villages,129038,0,0,Indirect
Nutakki,13807.3,UFTP,Rural Villages,128868,0,0,Indirect
Korukonda,13795.6,UFTP,Rural Villages,128759,0,0,Indirect
Guthinadeevi,13791.7,UFTP,Rural Villages,128723,0,0,Indirect
Settipalle,13790.4,UFTP,Rural Villages,128710,0,0,Indirect
Gudapalle,13786.5,UFTP,Rural Villages,128674,0,0,Indirect
Pulletikurru,13765.7,UFTP,Rural Villages,128480,0,0,Indirect
Kodur (West),13764.4,UFTP,Rural Villages,128468,0,1,Indirect
Vissakoderu,13760.5,UFTP,Rural Villages,128431,0,0,Indirect
Gangadipalem,13751.4,UFTP,Rural Villages,128346,0,0,Indirect
Itikalapalle,13704.6,UFTP,Rural Villages,127910,0,0,Indirect
Kondakamarla,13631.8,UFTP,Rural Villages,127230,0,0,Indirect
Bannur,13603.2,UFTP,Rural Villages,126963,0,0,Indirect
Burugupudi,13590.2,UFTP,Rural Villages,126842,0,0,Indirect
Madiki,13581.1,UFTP,Rural Villages,126757,0,0,Indirect
Pandikona,13572,UFTP,Rural Villages,126672,0,0,Indirect
Kesarapalle,13568.1,UFTP,Rural Villages,126636,0,0,Indirect
Balaga (CT),13561.6,UFTP,Rural Villages,126575,0,0,Indirect
Angara,13551.2,UFTP,Rural Villages,126478,0,0,Indirect
Uppugundur,13544.7,UFTP,Rural Villages,126417,0,0,Indirect
Rupenaguntla,13514.8,UFTP,Rural Villages,126138,0,0,Indirect
Kurichedu,13495.3,UFTP,Rural Villages,125956,0,0,Indirect
Budili,13477.1,UFTP,Rural Villages,125786,0,0,Indirect
Kalicherla,13453.7,UFTP,Rural Villages,125568,0,0,Indirect
D.Hirehal,13448.5,UFTP,Rural Villages,125519,0,0,Indirect
Panasapadu,13445.9,UFTP,Rural Villages,125495,0,0,Indirect
Gudluru,13438.1,UFTP,Rural Villages,125422,0,0,Indirect
Telaprolu,13431.6,UFTP,Rural Villages,125362,0,0,Indirect
Laxmapuram,13431.6,UFTP,Rural Villages,125362,0,0,Indirect
Yelamanchili,13431.6,UFTP,Rural Villages,125362,0,0,Indirect
Kattamuru,13425.1,UFTP,Rural Villages,125301,0,0,Indirect
Nagambhotla Palem,13413.4,UFTP,Rural Villages,125192,0,0,Indirect
Valluru,13397.8,UFTP,Rural Villages,125046,0,0,Indirect
Chitvel,13369.2,UFTP,Rural Villages,124779,879287.23,1,Indirect
Kotabommali,13366.6,UFTP,Rural Villages,124755,0,0,Indirect
Guttikonda,13352.3,UFTP,Rural Villages,124621,0,0,Indirect
Kovvali,13343.2,UFTP,Rural Villages,124537,0,0,Indirect
Pudipatla,13334.1,UFTP,Rural Villages,124452,0,0,Indirect
Kadimetla,13334.1,UFTP,Rural Villages,124452,0,0,Indirect
China Annaluru,13331.5,UFTP,Rural Villages,124427,0,0,Indirect
Gajulapalle,13328.9,UFTP,Rural Villages,124403,0,0,Indirect
Elchur,13327.6,UFTP,Rural Villages,124391,0,0,Indirect
Hemavathi,13321.1,UFTP,Rural Villages,124330,0,0,Indirect
Bapatla East (R),13317.2,UFTP,Rural Villages,124294,0,0,Indirect
Chanubanda,13315.9,UFTP,Rural Villages,124282,0,0,Indirect
Maruproluvaripalem (R),13297.7,UFTP,Rural Villages,124112,0,0,Indirect
Thummalacheruvu,13288.6,UFTP,Rural Villages,124027,0,0,Indirect
Pedda Thumbalam,13284.7,UFTP,Rural Villages,123991,0,0,Indirect
Rayakuduru,13279.5,UFTP,Rural Villages,123942,0,0,Indirect
Gotlur,13269.1,UFTP,Rural Villages,123845,0,0,Indirect
Mudaramdoddi,13254.8,UFTP,Rural Villages,123711,0,0,Indirect
Pullalacheruvu,13247,UFTP,Rural Villages,123639,0,0,Indirect
Machavaram,13245.7,UFTP,Rural Villages,123627,0,0,Indirect
Yellayapalem,13237.9,UFTP,Rural Villages,123554,0,0,Indirect
Vaddadi,13188.5,UFTP,Rural Villages,123093,0,0,Indirect
Erraballe,13187.2,UFTP,Rural Villages,123081,0,0,Indirect
Murukondapadu,13185.9,UFTP,Rural Villages,123068,0,0,Indirect
Gulyam,13185.9,UFTP,Rural Villages,123068,0,0,Indirect
Adigoppula,13179.4,UFTP,Rural Villages,123008,0,0,Indirect
Kodur,13175.5,UFTP,Rural Villages,122971,0,0,Indirect
Gudivada (CT),13136.5,UFTP,Rural Villages,122607,0,0,Indirect
Patha Thungapadu,13105.3,UFTP,Rural Villages,122316,0,0,Indirect
Siripuram,13105.3,UFTP,Rural Villages,122316,0,0,Indirect
Vidapanakal,13100.1,UFTP,Rural Villages,122268,0,0,Indirect
Moda,13083.2,UFTP,Rural Villages,122110,0,0,Indirect
Reddipalle,13079.3,UFTP,Rural Villages,122073,0,0,Indirect
Penumadam,13075.4,UFTP,Rural Villages,122037,0,0,Indirect
Kunkalagunta,13074.1,UFTP,Rural Villages,122025,0,0,Indirect
Ternekal,13070.2,UFTP,Rural Villages,121989,0,0,Indirect
Rudravaram,13066.3,UFTP,Rural Villages,121952,0,0,Indirect
Kopparam,13066.3,UFTP,Rural Villages,121952,0,0,Indirect
Kutukuluru,13045.5,UFTP,Rural Villages,121758,0,0,Indirect
South Valluru,13036.4,UFTP,Rural Villages,121673,0,0,Indirect
Veeraballe,13036.4,UFTP,Rural Villages,121673,0,0,Indirect
Bapatla West (R),13035.1,UFTP,Rural Villages,121661,0,0,Indirect
Korumilli,13010.4,UFTP,Rural Villages,121430,0,0,Indirect
Neelapalle,13005.2,UFTP,Rural Villages,121382,0,0,Indirect
Angallu,12977.9,UFTP,Rural Villages,121127,0,0,Indirect
Kambhampadu,12977.9,UFTP,Rural Villages,121127,0,0,Indirect
Rompicherla,12975.3,UFTP,Rural Villages,121103,0,0,Indirect
Annadevarapeta,12963.6,UFTP,Rural Villages,120994,0,0,Indirect
Kadiri (R),12957.1,UFTP,Rural Villages,120933,0,0,Indirect
Chinthakommadinne (Part),12948,UFTP,Rural Villages,120848,0,0,Indirect
Velugubanda,12935,UFTP,Rural Villages,120727,0,0,Indirect
Kadali,12928.5,UFTP,Rural Villages,120666,0,0,Indirect
Dirusumarru,12924.6,UFTP,Rural Villages,120630,0,0,Indirect
Thatipaka,12902.5,UFTP,Rural Villages,120423,0,0,Indirect
Silagam,12893.4,UFTP,Rural Villages,120338,0,0,Indirect
Nidadavole (R),12883,UFTP,Rural Villages,120241,0,0,Indirect
A. Kothapalle,12863.5,UFTP,Rural Villages,120059,0,0,Indirect
Adavuladeevi,12847.9,UFTP,Rural Villages,119914,0,0,Indirect
Ananthasagaram,12838.8,UFTP,Rural Villages,119829,0,0,Indirect
Yerragundla,12833.6,UFTP,Rural Villages,119780,0,0,Indirect
Bendamurulanka,12820.6,UFTP,Rural Villages,119659,0,0,Indirect
Cheepurupalle (West),12816.7,UFTP,Rural Villages,119623,0,0,Indirect
Dharmajigudem,12803.7,UFTP,Rural Villages,119501,0,0,Indirect
Kommala Padu,12782.9,UFTP,Rural Villages,119307,0,0,Indirect
Peteru,12777.7,UFTP,Rural Villages,119259,0,0,Indirect
Kothavaripalle,12768.6,UFTP,Rural Villages,119174,0,0,Indirect
Konithiwada,12763.4,UFTP,Rural Villages,119125,0,0,Indirect
Gudimellanka,12743.9,UFTP,Rural Villages,118943,0,0,Indirect
Ratnagiri,12717.9,UFTP,Rural Villages,118700,0,0,Indirect
Murapaka,12714,UFTP,Rural Villages,118664,0,0,Indirect
Yerravaram,12714,UFTP,Rural Villages,118664,0,0,Indirect
Yalluru,12704.9,UFTP,Rural Villages,118579,0,0,Indirect
Enamadala,12676.3,UFTP,Rural Villages,118312,0,0,Indirect
Mutyalapadu,12647.7,UFTP,Rural Villages,118045,0,0,Indirect
Yadavole,12646.4,UFTP,Rural Villages,118033,0,0,Indirect
Mandapaka (Part),12638.6,UFTP,Rural Villages,117960,0,0,Indirect
Garbham,12625.6,UFTP,Rural Villages,117839,0,0,Indirect
Padarthi,12616.5,UFTP,Rural Villages,117754,0,0,Indirect
Jonnagiri,12613.9,UFTP,Rural Villages,117730,0,0,Indirect
Yerraguntakota,12590.5,UFTP,Rural Villages,117511,0,0,Indirect
Thamballapalle,12581.4,UFTP,Rural Villages,117426,0,0,Indirect
Vikruthamala,12581.4,UFTP,Rural Villages,117426,0,0,Indirect
Kummarapurugupalem,12573.6,UFTP,Rural Villages,117354,0,0,Indirect
Chippada,12565.8,UFTP,Rural Villages,117281,0,0,Indirect
Brahmasamedyam,12554.1,UFTP,Rural Villages,117172,0,0,Indirect
Vijayapuri South,12547.6,UFTP,Rural Villages,117111,0,0,Indirect
Gowrivaripalle,12538.5,UFTP,Rural Villages,117026,0,0,Indirect
Addepalli,12521.6,UFTP,Rural Villages,116868,0,0,Indirect
Srirangapatnam,12519,UFTP,Rural Villages,116844,0,0,Indirect
Guntur (R),12511.2,UFTP,Rural Villages,116771,0,0,Indirect
Kondakinda Agraharam,12508.6,UFTP,Rural Villages,116747,0,0,Indirect
Vadisaleru,12465.7,UFTP,Rural Villages,116347,0,0,Indirect
Dommara Nandyala (CT),12464.4,UFTP,Rural Villages,116334,0,0,Indirect
Ainavilli,12461.8,UFTP,Rural Villages,116310,0,0,Indirect
Korukollu,12457.9,UFTP,Rural Villages,116274,0,0,Indirect
Kolletikota,12446.2,UFTP,Rural Villages,116165,0,0,Indirect
Jaladurgam,12441,UFTP,Rural Villages,116116,0,0,Indirect
Tallur,12428,UFTP,Rural Villages,115995,0,0,Indirect
Ramasingavaram,12420.2,UFTP,Rural Villages,115922,0,0,Indirect
Edlapalle,12408.5,UFTP,Rural Villages,115813,0,0,Indirect
Devaguptam,12405.9,UFTP,Rural Villages,115788,0,0,Indirect
Devarapalle,12398.1,UFTP,Rural Villages,115716,93495.6,1,Direct
Ravinuthala,12377.3,UFTP,Rural Villages,115521,0,0,Indirect
Makkuva,12366.9,UFTP,Rural Villages,115424,0,0,Indirect
Dupadu,12365.6,UFTP,Rural Villages,115412,0,0,Indirect
Swarna,12348.7,UFTP,Rural Villages,115255,0,0,Indirect
Gampalagudem,12342.2,UFTP,Rural Villages,115194,0,0,Indirect
Rangapuram,12340.9,UFTP,Rural Villages,115182,0,0,Indirect
Indukurpet Bit - II,12340.9,UFTP,Rural Villages,115182,0,0,Indirect
Narendrapuram,12339.6,UFTP,Rural Villages,115170,0,0,Indirect
Kristam Setti Palle,12338.3,UFTP,Rural Villages,115157,0,0,Indirect
Tangellamudi (CT),12334.4,UFTP,Rural Villages,115121,0,0,Indirect
Tatiparthi,12317.5,UFTP,Rural Villages,114963,0,0,Indirect
Gattu,12314.9,UFTP,Rural Villages,114939,0,0,Indirect
Rachanapalle,12311,UFTP,Rural Villages,114903,0,0,Indirect
Tanelanka,12307.1,UFTP,Rural Villages,114866,0,0,Indirect
Chintalapudi,12292.8,UFTP,Rural Villages,114733,0,0,Indirect
Chaki Cherla,12291.5,UFTP,Rural Villages,114721,0,0,Indirect
Mulakalacheruvu,12282.4,UFTP,Rural Villages,114636,0,0,Indirect
Madithadu,12274.6,UFTP,Rural Villages,114563,0,0,Indirect
Kothuru,12272,UFTP,Rural Villages,114539,0,0,Indirect
Kallur,12265.5,UFTP,Rural Villages,114478,0,0,Indirect
Paravada,12262.9,UFTP,Rural Villages,114454,0,0,Indirect
Vakadu,12251.2,UFTP,Rural Villages,114345,0,0,Indirect
